token	dependency	head	dependent	is_sent_start
have	ROOT	have	['In', 'addition', ',', 'the', 'Cabinet', 'will', 'to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal', '.']	False
to	aux	make	[]	False
make	xcomp	have	['to', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	False
it	nsubj	clear	[]	False
clear	ccomp	make	['it', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	False
that	mark	implemented	[]	False
all	predet	relaxations	[]	False
these	det	relaxations	[]	False
relaxations	nsubjpass	implemented	['all', 'these']	False
may	aux	implemented	[]	False
not	neg	implemented	[]	False
be	auxpass	implemented	[]	False
implemented	advcl	clear	['that', 'all', 'these', 'relaxations', 'may', 'not', 'be', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	False
,	punct	implemented	[]	False
particularly	advmod	sees	[]	False
if	mark	sees	[]	False
the	det	OMT	[]	False
OMT	nsubj	sees	['the']	False
sees	advcl	implemented	['particularly', 'if', 'the', 'OMT', 'a', 'problem', 'with', 'the', 'proposal']	False
a	det	problem	[]	False
problem	dobj	sees	['a', 'with', 'the', 'proposal']	False
with	prep	problem	['the', 'proposal']	False
the	det	proposal	[]	False
proposal	pobj	with	['the']	False
.	punct	have	[]	False
Anything	nsubj	taken	[]	True
taken	csubjpass	made	['Anything', 'off', 'the', 'table', 'in', 'the', 'interim']	False
off	prt	taken	[]	False
the	det	table	[]	False
table	dobj	taken	['the']	False
in	prep	taken	['the', 'interim']	False
the	det	interim	[]	False
interim	pobj	in	['the']	False
will	aux	made	[]	False
be	auxpass	made	[]	False
made	ROOT	made	['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim', 'will', 'be', 'clear', 'on', 'Tuesday', '.']	False
clear	oprd	made	[]	False
on	prep	made	['Tuesday']	False
Tuesday	pobj	on	[]	False
.	punct	made	[]	False
Far	advmod	reaching	[]	True
-	punct	reaching	[]	False
reaching	amod	elimination	['Far', '-']	False
elimination	nsubjpass	announced	['Far', '-', 'reaching', 'of', 'restrictions']	False
of	prep	elimination	['restrictions']	False
restrictions	pobj	of	[]	False
will	aux	announced	[]	False
also	advmod	announced	[]	False
be	auxpass	announced	[]	False
announced	ROOT	announced	['Far', '-', 'reaching', 'elimination', 'of', 'restrictions', 'will', 'also', 'be', 'in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days', '.']	False
in	prep	announced	['other', 'European', 'countries']	False
other	amod	countries	[]	False
European	amod	countries	[]	False
countries	pobj	in	['other', 'European']	False
in	prep	announced	['the', 'coming', 'days']	False
the	det	days	[]	False
coming	amod	days	[]	False
days	pobj	in	['the', 'coming']	False
.	punct	announced	[]	False
For	prep	expects	['example']	True
example	pobj	For	[]	False
,	punct	expects	[]	False
the	det	minister	[]	False
Belgian	amod	minister	[]	False
minister	nsubj	expects	['the', 'Belgian', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke']	False
handling	acl	minister	['coronavirus', 'issues']	False
coronavirus	compound	issues	[]	False
issues	dobj	handling	['coronavirus']	False
,	punct	minister	[]	False
Frank	compound	Vandenbroucke	[]	False
Vandenbroucke	appos	minister	['Frank']	False
,	punct	expects	[]	False
expects	ROOT	expects	['For', 'example', ',', 'the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',', 'that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday', '.']	False
that	mark	withdrawn	[]	False
almost	advmod	all	[]	False
all	nummod	measures	['almost']	False
coronavirus	compound	measures	[]	False
measures	nsubjpass	withdrawn	['almost', 'all', 'coronavirus']	False
will	aux	withdrawn	[]	False
be	auxpass	withdrawn	[]	False
withdrawn	ccomp	expects	['that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'in', 'Belgium', 'next', 'Friday']	False
in	prep	withdrawn	['Belgium']	False
Belgium	pobj	in	[]	False
next	amod	Friday	[]	False
Friday	npadvmod	withdrawn	['next']	False
.	punct	expects	[]	False
