	token	constituent_of_head	nature
484	on	['on', 'Wednesday', 'morning']	PREP
485	Wednesday	NOT_HEAD	MOD
486	morning	['Wednesday', 'morning']	OTH
487	,	NOT_HEAD	OTH
488	and	NOT_HEAD	OTH
489	the	NOT_HEAD	OTH
490	OMT	['the', 'OMT']	OTH
491	will	NOT_HEAD	OTH
492	meet	['the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']	OTH
493	again	NOT_HEAD	TUN
494	to	NOT_HEAD	OTH
495	discuss	['to', 'discuss', 'the', 'issue', 'on', 'Friday']	MOD
496	the	NOT_HEAD	OTH
497	issue	['the', 'issue']	OTH
498	on	['on', 'Friday']	PREP
499	Friday	NOT_HEAD	OTH
500	.	NOT_HEAD	OTH
501	Rutte	NOT_HEAD	OTH
502	said	"""['Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend', ',', '""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']"""	VERB
503	the	NOT_HEAD	OTH
504	Cabinet	['the', 'Cabinet']	OTH
505	could	NOT_HEAD	OTH
506	inform	"""['the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend', ',', '""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']"""	VERB
507	the	NOT_HEAD	OTH
508	Tweede	NOT_HEAD	MOD
509	Kamer	['the', 'Tweede', 'Kamer']	OTH
510	about	"""['about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend']"""	PREP
511	what	NOT_HEAD	OTH
512	it	NOT_HEAD	OTH
513	's	NOT_HEAD	OTH
514	considering	"""['what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend']"""	VERB
515	even	NOT_HEAD	TUN
516	before	['even', 'before', 'the', 'weekend']	PREP
517	the	NOT_HEAD	OTH
518	weekend	['the', 'weekend']	OTH
519	,	NOT_HEAD	OTH
520	""""""""""	NOT_HEAD	OTH
521	a	NOT_HEAD	OTH
522	sort	"""['a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']"""	OTH
523	of	"""['of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']"""	PREP
524	'	NOT_HEAD	OTH
525	what	NOT_HEAD	OTH
526	could	NOT_HEAD	OTH
527	be	"""['what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures']"""	VERB
528	'	NOT_HEAD	OTH
529	package	"""[""""'"""", 'package', '""""', 'of', 'measures']"""	OTH
530	""""""""""	NOT_HEAD	OTH
531	of	['of', 'measures']	PREP
532	measures	NOT_HEAD	OTH
533	,	NOT_HEAD	OTH
534	he	NOT_HEAD	OTH
535	said	"""['Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', """"'s"""", 'considering', 'even', 'before', 'the', 'weekend', ',', '""""', 'a', 'sort', 'of', """"'"""", 'what', 'could', 'be', """"'"""", 'package', '""""', 'of', 'measures', ',', 'he', 'said', '.']"""	VERB
536	.	NOT_HEAD	OTH
537	In	['In', 'addition']	PREP
538	addition	NOT_HEAD	OTH
539	,	NOT_HEAD	OTH
540	the	NOT_HEAD	OTH
541	Cabinet	['the', 'Cabinet']	OTH
542	will	NOT_HEAD	OTH
543	have	['In', 'addition', ',', 'the', 'Cabinet', 'will', 'have', 'to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal', '.']	VERB
544	to	NOT_HEAD	OTH
545	make	['to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	VERB
546	it	NOT_HEAD	OTH
547	clear	['it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	VERB
548	that	NOT_HEAD	OTH
549	all	NOT_HEAD	OTH
550	these	NOT_HEAD	OTH
551	relaxations	['all', 'these', 'relaxations']	OTH
552	may	NOT_HEAD	OTH
553	not	NOT_HEAD	INV
554	be	NOT_HEAD	OTH
555	implemented	['that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	MOD
556	,	NOT_HEAD	OTH
557	particularly	NOT_HEAD	TUN
558	if	NOT_HEAD	OTH
559	the	NOT_HEAD	OTH
560	OMT	['the', 'OMT']	OTH
561	sees	['particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']	MOD
562	a	NOT_HEAD	OTH
563	problem	['a', 'problem', 'with', 'the', 'proposal']	OTH
564	with	['with', 'the', 'proposal']	PREP
565	the	NOT_HEAD	OTH
566	proposal	['the', 'proposal']	OTH
567	.	NOT_HEAD	OTH
568	Anything	NOT_HEAD	OTH
569	taken	['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim']	VERB
570	off	NOT_HEAD	OTH
571	the	NOT_HEAD	OTH
572	table	['the', 'table']	OTH
573	in	['in', 'the', 'interim']	PREP
574	the	NOT_HEAD	OTH
575	interim	['the', 'interim']	OTH
576	will	NOT_HEAD	OTH
577	be	NOT_HEAD	OTH
578	made	['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim', 'will', 'be', 'made', 'clear', 'on', 'Tuesday', '.']	VERB
579	clear	NOT_HEAD	OTH
580	on	['on', 'Tuesday']	PREP
581	Tuesday	NOT_HEAD	OTH
582	.	NOT_HEAD	OTH
583	Far	NOT_HEAD	TUN
584	-	NOT_HEAD	OTH
585	reaching	['Far', '-', 'reaching']	MOD
586	elimination	['Far', '-', 'reaching', 'elimination', 'of', 'restrictions']	OTH
587	of	['of', 'restrictions']	PREP
588	restrictions	NOT_HEAD	OTH
589	will	NOT_HEAD	OTH
590	also	NOT_HEAD	TUN
591	be	NOT_HEAD	OTH
592	announced	['Far', '-', 'reaching', 'elimination', 'of', 'restrictions', 'will', 'also', 'be', 'announced', 'in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days', '.']	VERB
593	in	['in', 'other', 'European', 'countries']	PREP
594	other	NOT_HEAD	MOD
595	European	NOT_HEAD	MOD
596	countries	['other', 'European', 'countries']	OTH
597	in	['in', 'the', 'coming', 'days']	PREP
598	the	NOT_HEAD	OTH
599	coming	NOT_HEAD	MOD
600	days	['the', 'coming', 'days']	OTH
601	.	NOT_HEAD	OTH
602	For	['For', 'example']	PREP
603	example	NOT_HEAD	OTH
604	,	NOT_HEAD	OTH
605	the	NOT_HEAD	OTH
606	Belgian	NOT_HEAD	MOD
607	minister	['the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke']	OTH
608	handling	['handling', 'coronavirus', 'issues']	MOD
609	coronavirus	NOT_HEAD	MOD
610	issues	['coronavirus', 'issues']	OTH
611	,	NOT_HEAD	OTH
612	Frank	NOT_HEAD	MOD
613	Vandenbroucke	['Frank', 'Vandenbroucke']	MOD
614	,	NOT_HEAD	OTH
615	expects	['For', 'example', ',', 'the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',', 'expects', 'that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday', '.']	VERB
616	that	NOT_HEAD	OTH
617	almost	NOT_HEAD	TUN
618	all	['almost', 'all']	MOD
619	coronavirus	NOT_HEAD	MOD
620	measures	['almost', 'all', 'coronavirus', 'measures']	OTH
621	will	NOT_HEAD	OTH
622	be	NOT_HEAD	OTH
623	withdrawn	['that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday']	VERB
624	in	['in', 'Belgium']	PREP
625	Belgium	NOT_HEAD	OTH
626	next	NOT_HEAD	MOD
627	Friday	['next', 'Friday']	OTH
628	.	NOT_HEAD	OTH
