,token,nature,head,nr_of_dependents,constituent_of_head,constituency_paths
185,keep,VERB,is,3,"['to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'TO']"
186,society,MOD,open,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
187,open,OTH,keep,2,"['society', 'open', ',']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
188,",",OTH,open,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'S', 'ADJP', 'JJ']"
189,which,OTH,celebrated,0,NOT_HEAD,"['S', 'VP', ',']"
190,was,OTH,celebrated,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'WHNP', 'WDT']"
191,celebrated,MOD,keep,3,"['which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VBD']"
192,by,OTH,celebrated,1,"['by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VBN']"
193,the,OTH,mayors,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'IN']"
194,mayors,OTH,by,2,"['the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
195,on,PREP,mayors,1,"['on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NNS']"
196,the,OTH,Council,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
197,Security,MOD,Council,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'DT']"
198,Council,OTH,on,2,"['the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
199,.,OTH,said,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
201,If,OTH,think,0,NOT_HEAD,"['S', '.']"
202,the,OTH,experts,0,NOT_HEAD,"['S', 'SBAR', 'IN']"
203,experts,OTH,think,1,"['the', 'experts']","['S', 'SBAR', 'S', 'NP', 'DT']"
204,think,MOD,taken,2,"""['If', 'the', 'experts', 'think', 'it', """"'s"""", 'justified']""","['S', 'SBAR', 'S', 'NP', 'NNS']"
205,it,OTH,'s,0,NOT_HEAD,"['S', 'SBAR', 'S', 'VP', 'VBP']"
206,'s,VERB,think,2,"""['it', """"'s"""", 'justified']""","['S', 'SBAR', 'S', 'VP', 'SBAR', 'S', 'NP', 'PRP']"
207,justified,OTH,'s,0,NOT_HEAD,"['S', 'SBAR', 'S', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
208,",",OTH,taken,0,NOT_HEAD,"['S', 'SBAR', 'S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'VBN']"
209,further,MOD,steps,0,NOT_HEAD,"['S', ',']"
210,steps,OTH,taken,1,"['further', 'steps']","['S', 'NP', 'JJ']"
211,will,OTH,taken,0,NOT_HEAD,"['S', 'NP', 'NNS']"
212,probably,TUN,taken,0,NOT_HEAD,"['S', 'VP', 'MD']"
213,be,OTH,taken,0,NOT_HEAD,"['S', 'VP', 'ADVP', 'RB']"
214,taken,VERB,taken,8,"""['If', 'the', 'experts', 'think', 'it', """"'s"""", 'justified', ',', 'further', 'steps', 'will', 'probably', 'be', 'taken', 'at', 'the', 'beginning', 'of', 'March', '.']""","['S', 'VP', 'VP', 'VB']"
215,at,PREP,taken,1,"['at', 'the', 'beginning', 'of', 'March']","['S', 'VP', 'VP', 'VP', 'VBN']"
216,the,OTH,beginning,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
217,beginning,OTH,at,2,"['the', 'beginning', 'of', 'March']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
218,of,PREP,beginning,1,"['of', 'March']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NP', 'NN']"
219,March,OTH,of,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
220,.,OTH,taken,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
222,These,OTH,relaxations,0,NOT_HEAD,"['S', '.']"
223,relaxations,OTH,announced,1,"['These', 'relaxations']","['S', 'S', 'NP', 'DT']"
224,may,OTH,announced,0,NOT_HEAD,"['S', 'S', 'NP', 'NNS']"
225,be,OTH,announced,0,NOT_HEAD,"['S', 'S', 'VP', 'MD']"
226,announced,VERB,announced,7,"['These', 'relaxations', 'may', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'March', '8', ',', 'but', 'that', 'is', 'not', 'yet', 'certain', '.']","['S', 'S', 'VP', 'VP', 'VB']"
227,at,PREP,announced,1,"['at', 'a', 'press', 'conference', 'on', 'March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'VBN']"
228,a,OTH,conference,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
229,press,MOD,conference,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
230,conference,OTH,at,3,"['a', 'press', 'conference', 'on', 'March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
231,on,PREP,conference,1,"['on', 'March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
232,March,OTH,on,1,"['March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
233,8,MOD,March,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
234,",",OTH,announced,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'CD']"
235,but,OTH,announced,0,NOT_HEAD,"['S', ',']"
236,that,OTH,is,0,NOT_HEAD,"['S', 'CC']"
237,is,OTH,announced,5,"['that', 'is', 'not', 'yet', 'certain', '.']","['S', 'S', 'NP', 'DT']"
238,not,INV,is,0,NOT_HEAD,"['S', 'S', 'VP', 'VBZ']"
239,yet,TUN,is,0,NOT_HEAD,"['S', 'S', 'VP', 'RB']"
240,certain,OTH,is,0,NOT_HEAD,"['S', 'S', 'VP', 'ADVP', 'RB']"
241,.,OTH,is,0,NOT_HEAD,"['S', 'S', 'VP', 'ADJP', 'JJ']"
243,Earlier,TUN,emerged,1,"['Earlier', 'in', 'the', 'day']","['S', '.']"
244,in,PREP,Earlier,1,"['in', 'the', 'day']","['S', 'ADVP', 'RBR']"
245,the,OTH,day,0,NOT_HEAD,"['S', 'ADVP', 'PP', 'IN']"
246,day,OTH,in,1,"['the', 'day']","['S', 'ADVP', 'PP', 'NP', 'DT']"
247,it,OTH,emerged,0,NOT_HEAD,"['S', 'ADVP', 'PP', 'NP', 'NN']"
248,was,OTH,emerged,0,NOT_HEAD,"['S', 'NP', 'PRP']"
249,emerged,VERB,emerged,5,"['Earlier', 'in', 'the', 'day', 'it', 'was', 'emerged', 'that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week', '.']","['S', 'VP', 'VBD']"
250,that,OTH,wants,0,NOT_HEAD,"['S', 'VP', 'VP', 'VBN']"
251,the,OTH,Cabinet,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'IN']"
252,Cabinet,OTH,wants,1,"['the', 'Cabinet']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'DT']"
253,wants,VERB,emerged,3,"['that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NNP']"
254,to,OTH,extend,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
255,extend,VERB,wants,3,"['to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'TO']"
256,the,OTH,hours,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
257,opening,MOD,hours,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NP', 'DT']"
258,hours,OTH,extend,3,"['the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NP', 'NN']"
259,for,PREP,hours,1,"['for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NP', 'NNS']"
260,the,OTH,industry,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'IN']"
261,hospitality,MOD,industry,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'DT']"
262,industry,OTH,for,4,"['the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NN']"
263,",",OTH,industry,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NN']"
264,theaters,OTH,industry,2,"['theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', ',']"
265,and,OTH,theaters,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
266,cinemas,OTH,theaters,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'CC']"
267,next,MOD,week,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
268,week,OTH,extend,1,"['next', 'week']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'JJ']"
269,.,OTH,emerged,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
271,The,OTH,time,0,NOT_HEAD,"['S', '.']"
272,exact,MOD,time,0,NOT_HEAD,"['S', 'NP', 'NP', 'DT']"
273,time,OTH,discussed,3,"['The', 'exact', 'time', 'of', 'closure']","['S', 'NP', 'NP', 'JJ']"
274,of,PREP,time,1,"['of', 'closure']","['S', 'NP', 'NP', 'NN']"
275,closure,OTH,of,0,NOT_HEAD,"['S', 'NP', 'PP', 'IN']"
276,is,OTH,discussed,0,NOT_HEAD,"['S', 'NP', 'PP', 'NP', 'NN']"
277,still,TUN,discussed,0,NOT_HEAD,"['S', 'VP', 'VBZ']"
278,being,OTH,discussed,0,NOT_HEAD,"['S', 'VP', 'ADVP', 'RB']"
279,discussed,VERB,discussed,5,"['The', 'exact', 'time', 'of', 'closure', 'is', 'still', 'being', 'discussed', '.']","['S', 'VP', 'VP', 'VBG']"
280,.,OTH,discussed,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'VBN']"
282,These,OTH,businesses,0,NOT_HEAD,"['S', '.']"
283,businesses,OTH,have,1,"['These', 'businesses']","['S', 'NP', 'DT']"
284,currently,TUN,have,0,NOT_HEAD,"['S', 'NP', 'NNS']"
285,have,VERB,have,5,"['These', 'businesses', 'currently', 'have', 'to', 'close', 'at', '10', 'p.m.', 'Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']","['S', 'ADVP', 'RB']"
286,to,OTH,close,0,NOT_HEAD,"['S', 'VP', 'VBP']"
287,close,VERB,have,2,"['to', 'close', 'at', '10', 'p.m.']","['S', 'VP', 'S', 'VP', 'TO']"
288,at,PREP,close,1,"['at', '10', 'p.m.']","['S', 'VP', 'S', 'VP', 'VP', 'VB']"
289,10,MOD,p.m.,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
290,p.m.,OTH,at,1,"['10', 'p.m.']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'CD']"
291,Customers,OTH,have,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
292,may,OTH,have,0,NOT_HEAD,"['S', '.']"
293,no,INV,longer,0,NOT_HEAD,"['S', 'S', 'NP', 'NNS']"
294,longer,TUN,have,1,"['no', 'longer']","['S', 'S', 'VP', 'MD']"
295,have,OTH,have,7,"['Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'ADVP', 'RB']"
296,to,OTH,remain,0,NOT_HEAD,"['S', 'S', 'VP', 'ADVP', 'RBR']"
297,remain,VERB,have,2,"['to', 'remain', 'in', 'assigned', 'seats']","['S', 'S', 'VP', 'VP', 'VB']"
298,in,PREP,remain,1,"['in', 'assigned', 'seats']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'TO']"
299,assigned,MOD,seats,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
300,seats,OTH,in,1,"['assigned', 'seats']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
301,",",OTH,have,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'VBN']"
302,and,OTH,have,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NNS']"
303,social,MOD,requirements,0,NOT_HEAD,"['S', ',']"
304,distancing,MOD,requirements,0,NOT_HEAD,"['S', 'CC']"
305,requirements,OTH,disappear,3,"['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector']","['S', 'S', 'NP', 'NP', 'JJ']"
306,in,PREP,requirements,1,"['in', 'the', 'hospitality', 'and', 'cultural', 'sector']","['S', 'S', 'NP', 'NP', 'VBG']"
307,the,OTH,hospitality,0,NOT_HEAD,"['S', 'S', 'NP', 'NP', 'NNS']"
308,hospitality,OTH,in,3,"['the', 'hospitality', 'and', 'cultural', 'sector']","['S', 'S', 'NP', 'PP', 'IN']"
309,and,OTH,hospitality,0,NOT_HEAD,"['S', 'S', 'NP', 'PP', 'NP', 'DT']"
310,cultural,MOD,sector,0,NOT_HEAD,"['S', 'S', 'NP', 'PP', 'NP', 'NML', 'NN']"
311,sector,OTH,hospitality,1,"['cultural', 'sector']","['S', 'S', 'NP', 'PP', 'NP', 'NML', 'CC']"
312,could,OTH,disappear,0,NOT_HEAD,"['S', 'S', 'NP', 'PP', 'NP', 'NML', 'JJ']"
313,disappear,OTH,have,4,"['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'NP', 'PP', 'NP', 'NN']"
314,",",OTH,disappear,0,NOT_HEAD,"['S', 'S', 'VP', 'MD']"
315,allowing,MOD,disappear,1,"['allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'VP', 'VB']"
316,them,OTH,increase,0,NOT_HEAD,"['S', ',']"
317,to,OTH,increase,0,NOT_HEAD,"['S', 'S', 'VP', 'VBG']"
318,increase,VERB,allowing,3,"['them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'S', 'NP', 'PRP']"
319,attendance,OTH,increase,1,"['attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'S', 'VP', 'TO']"
320,to,PREP,attendance,1,"['to', 'maximum', 'capacity']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
321,maximum,MOD,capacity,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
322,capacity,OTH,to,1,"['maximum', 'capacity']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
323,.,OTH,have,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'JJ']"
325,Furthermore,TUN,disappear,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
326,",",OTH,disappear,0,NOT_HEAD,"['S', '.']"
327,according,PREP,disappear,1,"['according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet']","['S', 'ADVP', 'RB']"
328,to,PREP,according,1,"['to', 'sources', 'close', 'to', 'the', 'Cabinet']","['S', ',']"
329,sources,OTH,to,1,"['sources', 'close', 'to', 'the', 'Cabinet']","['S', 'PP', 'VBG']"
330,close,MOD,sources,1,"['close', 'to', 'the', 'Cabinet']","['S', 'PP', 'PP', 'IN']"
331,to,PREP,close,1,"['to', 'the', 'Cabinet']","['S', 'PP', 'PP', 'NP', 'NP', 'NNS']"
332,the,OTH,Cabinet,0,NOT_HEAD,"['S', 'PP', 'PP', 'NP', 'ADJP', 'JJ']"
333,Cabinet,OTH,to,1,"['the', 'Cabinet']","['S', 'PP', 'PP', 'NP', 'ADJP', 'PP', 'IN']"
334,",",OTH,disappear,0,NOT_HEAD,"['S', 'PP', 'PP', 'NP', 'ADJP', 'PP', 'NP', 'DT']"
335,the,OTH,advice,0,NOT_HEAD,"['S', 'PP', 'PP', 'NP', 'ADJP', 'PP', 'NP', 'NNP']"
336,advice,OTH,disappear,2,"['the', 'advice', 'to', 'work', 'from', 'home']","['S', ',']"
337,to,OTH,work,0,NOT_HEAD,"['S', 'NP', 'DT']"
338,work,MOD,advice,2,"['to', 'work', 'from', 'home']","['S', 'NP', 'NN']"
339,from,PREP,work,1,"['from', 'home']","['S', 'NP', 'S', 'VP', 'TO']"
340,home,OTH,from,0,NOT_HEAD,"['S', 'NP', 'S', 'VP', 'VP', 'VB']"
341,will,OTH,disappear,0,NOT_HEAD,"['S', 'NP', 'S', 'VP', 'VP', 'PP', 'IN']"
342,also,TUN,disappear,0,NOT_HEAD,"['S', 'NP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
343,disappear,VERB,disappear,8,"['Furthermore', ',', 'according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet', ',', 'the', 'advice', 'to', 'work', 'from', 'home', 'will', 'also', 'disappear', '.']","['S', 'VP', 'MD']"
344,.,OTH,disappear,0,NOT_HEAD,"['S', 'VP', 'ADVP', 'RB']"
346,The,OTH,advice,0,NOT_HEAD,"['S', 'VP', 'VP', 'VB']"
347,current,MOD,advice,0,NOT_HEAD,"['S', '.']"
348,advice,OTH,been,2,"['The', 'current', 'advice']","['S', 'NP', 'DT']"
349,has,OTH,been,0,NOT_HEAD,"['S', 'NP', 'JJ']"
350,been,VERB,been,5,"['The', 'current', 'advice', 'has', 'been', 'in', 'effect', 'since', 'November', '26', '.']","['S', 'NP', 'NN']"
351,in,PREP,been,1,"['in', 'effect']","['S', 'VP', 'VBZ']"
352,effect,OTH,in,0,NOT_HEAD,"['S', 'VP', 'VP', 'VBN']"
353,since,PREP,been,1,"['since', 'November', '26']","['S', 'VP', 'VP', 'PP', 'IN']"
354,November,OTH,since,1,"['November', '26']","['S', 'VP', 'VP', 'PP', 'NP', 'NN']"
355,26,MOD,November,0,NOT_HEAD,"['S', 'VP', 'VP', 'PP', 'IN']"
356,.,OTH,been,0,NOT_HEAD,"['S', 'VP', 'VP', 'PP', 'NP', 'NNP']"
358,It,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'VP', 'PP', 'NP', 'CD']"
359,will,OTH,announced,0,NOT_HEAD,"['S', '.']"
360,also,TUN,announced,0,NOT_HEAD,"['S', 'NP', 'PRP']"
361,probably,TUN,announced,0,NOT_HEAD,"['S', 'VP', 'MD']"
362,be,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'ADVP', 'RB']"
363,announced,VERB,announced,8,"['It', 'will', 'also', 'probably', 'be', 'announced', 'next', 'week', 'that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted', '.']","['S', 'VP', 'ADVP', 'RB']"
364,next,MOD,week,0,NOT_HEAD,"['S', 'VP', 'VP', 'VB']"
365,week,OTH,announced,1,"['next', 'week']","['S', 'VP', 'VP', 'VP', 'VBN']"
366,that,OTH,lifted,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'NP', 'JJ']"
367,the,OTH,restriction,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'NP', 'NN']"
368,restriction,OTH,lifted,2,"['the', 'restriction', 'to', 'receive', 'a', 'maximum']","['S', 'VP', 'VP', 'VP', 'SBAR', 'IN']"
369,to,OTH,receive,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'DT']"
370,receive,MOD,restriction,2,"['to', 'receive', 'a', 'maximum']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NN']"
371,a,OTH,maximum,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'TO']"
372,maximum,OTH,receive,1,"['a', 'maximum']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'VB']"
373,of,MOD,four,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'NP', 'DT']"
374,four,MOD,people,1,"['of', 'four']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'NP', 'NN']"
375,people,OTH,lifted,2,"['of', 'four', 'people', 'at', 'home']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'PP', 'IN']"
376,at,PREP,people,1,"['at', 'home']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'CD']"
377,home,OTH,at,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NNS']"
378,will,OTH,lifted,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'PP', 'IN']"
379,be,OTH,lifted,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
380,lifted,VERB,announced,5,"['that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'VP', 'MD']"
381,.,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
383,The,OTH,Cabinet,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
384,Cabinet,OTH,is,1,"['The', 'Cabinet']","['S', '.']"
385,is,VERB,is,3,"""['The', 'Cabinet', 'is', '""""', 'cautiously', 'optimistic', '""""', 'about', 'hospital', 'admissions', '.']""","['S', 'NP', 'DT']"
386,"""",OTH,optimistic,0,NOT_HEAD,"['S', 'NP', 'NNP']"
387,cautiously,TUN,optimistic,0,NOT_HEAD,"['S', 'VP', 'VBZ']"
388,optimistic,OTH,is,4,"""['""""', 'cautiously', 'optimistic', '""""', 'about', 'hospital', 'admissions']""","['S', 'VP', 'ADVP', '``']"
389,"""",OTH,optimistic,0,NOT_HEAD,"['S', 'VP', 'ADJP', 'ADJP', 'RB']"
390,about,PREP,optimistic,1,"['about', 'hospital', 'admissions']","['S', 'VP', 'ADJP', 'ADJP', 'JJ']"
391,hospital,MOD,admissions,0,NOT_HEAD,"['S', 'VP', 'ADJP', ""''""]"
392,admissions,OTH,about,1,"['hospital', 'admissions']","['S', 'VP', 'ADJP', 'PP', 'IN']"
393,.,OTH,is,0,NOT_HEAD,"['S', 'VP', 'ADJP', 'PP', 'NP', 'NN']"
395,These,OTH,increased,0,NOT_HEAD,"['S', 'VP', 'ADJP', 'PP', 'NP', 'NNS']"
396,have,OTH,increased,0,NOT_HEAD,"['S', '.']"
397,increased,VERB,increased,7,"['These', 'have', 'increased', 'over', 'the', 'last', 'five', 'weeks', ',', 'but', 'at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus', '.']","['S', 'S', 'NP', 'DT']"
398,over,PREP,increased,1,"['over', 'the', 'last', 'five', 'weeks']","['S', 'S', 'VP', 'VBP']"
399,the,OTH,weeks,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VBN']"
400,last,MOD,weeks,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'IN']"
401,five,MOD,weeks,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'DT']"
402,weeks,OTH,over,3,"['the', 'last', 'five', 'weeks']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'JJ']"
403,",",OTH,increased,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'CD']"
404,but,OTH,increased,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NNS']"
405,at,OTH,increased,1,"['at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', ',']"
406,a,OTH,rate,0,NOT_HEAD,"['S', 'CC']"
407,much,TUN,lower,0,NOT_HEAD,"['S', 'S', 'PP', 'IN']"
408,lower,MOD,rate,1,"['much', 'lower']","['S', 'S', 'PP', 'NP', 'DT']"
