,token,dependency,head,dependent,constituent,paths
184,to,aux,keep,[],['to'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
185,keep,xcomp,is,"['to', 'open', 'celebrated']","['to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'TO']"
186,society,compound,open,[],['society'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
187,open,oprd,keep,"['society', ',']","['society', 'open', ',']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
188,",",punct,open,[],"[',']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'S', 'ADJP', 'JJ']"
189,which,nsubjpass,celebrated,[],['which'],"['S', 'VP', ',']"
190,was,auxpass,celebrated,[],['was'],"['S', 'VP', 'SBAR', 'WHNP', 'WDT']"
191,celebrated,relcl,keep,"['which', 'was', 'by']","['which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VBD']"
192,by,agent,celebrated,['mayors'],"['by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VBN']"
193,the,det,mayors,[],['the'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'IN']"
194,mayors,pobj,by,"['the', 'on']","['the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
195,on,prep,mayors,['Council'],"['on', 'the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NNS']"
196,the,det,Council,[],['the'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
197,Security,compound,Council,[],['Security'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'DT']"
198,Council,pobj,on,"['the', 'Security']","['the', 'Security', 'Council']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
199,.,punct,said,[],['.'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
201,If,mark,think,[],['If'],"['S', '.']"
202,the,det,experts,[],['the'],"['S', 'SBAR', 'IN']"
203,experts,nsubj,think,['the'],"['the', 'experts']","['S', 'SBAR', 'S', 'NP', 'DT']"
204,think,advcl,taken,"['If', 'experts', ""'s""]","['If', 'the', 'experts', 'think', 'it', ""'s"", 'justified']","['S', 'SBAR', 'S', 'NP', 'NNS']"
205,it,nsubj,'s,[],['it'],"['S', 'SBAR', 'S', 'VP', 'VBP']"
206,'s,ccomp,think,"['it', 'justified']","['it', ""'s"", 'justified']","['S', 'SBAR', 'S', 'VP', 'SBAR', 'S', 'NP', 'PRP']"
207,justified,acomp,'s,[],['justified'],"['S', 'SBAR', 'S', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
208,",",punct,taken,[],"[',']","['S', 'SBAR', 'S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'VBN']"
209,further,amod,steps,[],['further'],"['S', ',']"
210,steps,nsubjpass,taken,['further'],"['further', 'steps']","['S', 'NP', 'JJ']"
211,will,aux,taken,[],['will'],"['S', 'NP', 'NNS']"
212,probably,advmod,taken,[],['probably'],"['S', 'VP', 'MD']"
213,be,auxpass,taken,[],['be'],"['S', 'VP', 'ADVP', 'RB']"
214,taken,ROOT,taken,"['\n', 'think', ',', 'steps', 'will', 'probably', 'be', 'at', '.']","['\n', 'If', 'the', 'experts', 'think', 'it', ""'s"", 'justified', ',', 'further', 'steps', 'will', 'probably', 'be', 'taken', 'at', 'the', 'beginning', 'of', 'March', '.']","['S', 'VP', 'VP', 'VB']"
215,at,prep,taken,['beginning'],"['at', 'the', 'beginning', 'of', 'March']","['S', 'VP', 'VP', 'VP', 'VBN']"
216,the,det,beginning,[],['the'],"['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
217,beginning,pobj,at,"['the', 'of']","['the', 'beginning', 'of', 'March']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
218,of,prep,beginning,['March'],"['of', 'March']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NP', 'NN']"
219,March,pobj,of,[],['March'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
220,.,punct,taken,[],['.'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
222,These,det,relaxations,[],['These'],"['S', '.']"
223,relaxations,nsubjpass,announced,['These'],"['These', 'relaxations']","['S', 'S', 'NP', 'DT']"
224,may,aux,announced,[],['may'],"['S', 'S', 'NP', 'NNS']"
225,be,auxpass,announced,[],['be'],"['S', 'S', 'VP', 'MD']"
226,announced,ROOT,announced,"['\n', 'relaxations', 'may', 'be', 'at', ',', 'but', 'is']","['\n', 'These', 'relaxations', 'may', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'March', '8', ',', 'but', 'that', 'is', 'not', 'yet', 'certain', '.']","['S', 'S', 'VP', 'VP', 'VB']"
227,at,prep,announced,['conference'],"['at', 'a', 'press', 'conference', 'on', 'March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'VBN']"
228,a,det,conference,[],['a'],"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
229,press,compound,conference,[],['press'],"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
230,conference,pobj,at,"['a', 'press', 'on']","['a', 'press', 'conference', 'on', 'March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
231,on,prep,conference,['March'],"['on', 'March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
232,March,pobj,on,['8'],"['March', '8']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
233,8,nummod,March,[],['8'],"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
234,",",punct,announced,[],"[',']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'CD']"
235,but,cc,announced,[],['but'],"['S', ',']"
236,that,nsubj,is,[],['that'],"['S', 'CC']"
237,is,conj,announced,"['that', 'not', 'yet', 'certain', '.']","['that', 'is', 'not', 'yet', 'certain', '.']","['S', 'S', 'NP', 'DT']"
238,not,neg,is,[],['not'],"['S', 'S', 'VP', 'VBZ']"
239,yet,advmod,is,[],['yet'],"['S', 'S', 'VP', 'RB']"
240,certain,acomp,is,[],['certain'],"['S', 'S', 'VP', 'ADVP', 'RB']"
241,.,punct,is,[],['.'],"['S', 'S', 'VP', 'ADJP', 'JJ']"
243,Earlier,advmod,emerged,['in'],"['Earlier', 'in', 'the', 'day']","['S', '.']"
244,in,prep,Earlier,['day'],"['in', 'the', 'day']","['S', 'ADVP', 'RBR']"
245,the,det,day,[],['the'],"['S', 'ADVP', 'PP', 'IN']"
246,day,pobj,in,['the'],"['the', 'day']","['S', 'ADVP', 'PP', 'NP', 'DT']"
247,it,nsubjpass,emerged,[],['it'],"['S', 'ADVP', 'PP', 'NP', 'NN']"
248,was,auxpass,emerged,[],['was'],"['S', 'NP', 'PRP']"
249,emerged,ROOT,emerged,"['\n', 'Earlier', 'it', 'was', 'wants', '.']","['\n', 'Earlier', 'in', 'the', 'day', 'it', 'was', 'emerged', 'that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week', '.']","['S', 'VP', 'VBD']"
250,that,mark,wants,[],['that'],"['S', 'VP', 'VP', 'VBN']"
251,the,det,Cabinet,[],['the'],"['S', 'VP', 'VP', 'SBAR', 'IN']"
252,Cabinet,nsubj,wants,['the'],"['the', 'Cabinet']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'DT']"
253,wants,ccomp,emerged,"['that', 'Cabinet', 'extend']","['that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NNP']"
254,to,aux,extend,[],['to'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
255,extend,xcomp,wants,"['to', 'hours', 'week']","['to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'TO']"
256,the,det,hours,[],['the'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
257,opening,compound,hours,[],['opening'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NP', 'DT']"
258,hours,dobj,extend,"['the', 'opening', 'for']","['the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NP', 'NN']"
259,for,prep,hours,['industry'],"['for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NP', 'NNS']"
260,the,det,industry,[],['the'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'IN']"
261,hospitality,compound,industry,[],['hospitality'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'DT']"
262,industry,pobj,for,"['the', 'hospitality', ',', 'theaters']","['the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NN']"
263,",",punct,industry,[],"[',']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NN']"
264,theaters,conj,industry,"['and', 'cinemas']","['theaters', 'and', 'cinemas']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', ',']"
265,and,cc,theaters,[],['and'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
266,cinemas,conj,theaters,[],['cinemas'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'CC']"
267,next,amod,week,[],['next'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
268,week,npadvmod,extend,['next'],"['next', 'week']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'JJ']"
269,.,punct,emerged,[],['.'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
271,The,det,time,[],['The'],"['S', '.']"
272,exact,amod,time,[],['exact'],"['S', 'NP', 'NP', 'DT']"
273,time,nsubjpass,discussed,"['The', 'exact', 'of']","['The', 'exact', 'time', 'of', 'closure']","['S', 'NP', 'NP', 'JJ']"
274,of,prep,time,['closure'],"['of', 'closure']","['S', 'NP', 'NP', 'NN']"
275,closure,pobj,of,[],['closure'],"['S', 'NP', 'PP', 'IN']"
276,is,aux,discussed,[],['is'],"['S', 'NP', 'PP', 'NP', 'NN']"
277,still,advmod,discussed,[],['still'],"['S', 'VP', 'VBZ']"
278,being,auxpass,discussed,[],['being'],"['S', 'VP', 'ADVP', 'RB']"
279,discussed,ROOT,discussed,"['\n', 'time', 'is', 'still', 'being', '.']","['\n', 'The', 'exact', 'time', 'of', 'closure', 'is', 'still', 'being', 'discussed', '.']","['S', 'VP', 'VP', 'VBG']"
280,.,punct,discussed,[],['.'],"['S', 'VP', 'VP', 'VP', 'VBN']"
282,These,det,businesses,[],['These'],"['S', '.']"
283,businesses,nsubj,have,['These'],"['These', 'businesses']","['S', 'NP', 'DT']"
284,currently,advmod,have,[],['currently'],"['S', 'NP', 'NNS']"
285,have,ROOT,have,"['\n', 'businesses', 'currently', 'close', 'have', '.']","['\n', 'These', 'businesses', 'currently', 'have', 'to', 'close', 'at', '10', 'p.m.', 'Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']","['S', 'ADVP', 'RB']"
286,to,aux,close,[],['to'],"['S', 'VP', 'VBP']"
287,close,xcomp,have,"['to', 'at']","['to', 'close', 'at', '10', 'p.m.']","['S', 'VP', 'S', 'VP', 'TO']"
288,at,prep,close,['p.m.'],"['at', '10', 'p.m.']","['S', 'VP', 'S', 'VP', 'VP', 'VB']"
289,10,nummod,p.m.,[],['10'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
290,p.m.,pobj,at,['10'],"['10', 'p.m.']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'CD']"
291,Customers,nsubj,have,[],['Customers'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
292,may,aux,have,[],['may'],"['S', '.']"
293,no,neg,longer,[],['no'],"['S', 'S', 'NP', 'NNS']"
294,longer,advmod,have,['no'],"['no', 'longer']","['S', 'S', 'VP', 'MD']"
295,have,conj,have,"['Customers', 'may', 'longer', 'remain', ',', 'and', 'disappear']","['Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'ADVP', 'RB']"
296,to,aux,remain,[],['to'],"['S', 'S', 'VP', 'ADVP', 'RBR']"
297,remain,xcomp,have,"['to', 'in']","['to', 'remain', 'in', 'assigned', 'seats']","['S', 'S', 'VP', 'VP', 'VB']"
298,in,prep,remain,['seats'],"['in', 'assigned', 'seats']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'TO']"
299,assigned,amod,seats,[],['assigned'],"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
300,seats,pobj,in,['assigned'],"['assigned', 'seats']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
301,",",punct,have,[],"[',']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'VBN']"
302,and,cc,have,[],['and'],"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NNS']"
303,social,amod,requirements,[],['social'],"['S', ',']"
304,distancing,compound,requirements,[],['distancing'],"['S', 'CC']"
305,requirements,nsubj,disappear,"['social', 'distancing', 'in']","['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector']","['S', 'S', 'NP', 'NP', 'JJ']"
306,in,prep,requirements,['hospitality'],"['in', 'the', 'hospitality', 'and', 'cultural', 'sector']","['S', 'S', 'NP', 'NP', 'VBG']"
307,the,det,hospitality,[],['the'],"['S', 'S', 'NP', 'NP', 'NNS']"
308,hospitality,pobj,in,"['the', 'and', 'sector']","['the', 'hospitality', 'and', 'cultural', 'sector']","['S', 'S', 'NP', 'PP', 'IN']"
309,and,cc,hospitality,[],['and'],"['S', 'S', 'NP', 'PP', 'NP', 'DT']"
310,cultural,amod,sector,[],['cultural'],"['S', 'S', 'NP', 'PP', 'NP', 'NML', 'NN']"
311,sector,conj,hospitality,['cultural'],"['cultural', 'sector']","['S', 'S', 'NP', 'PP', 'NP', 'NML', 'CC']"
312,could,aux,disappear,[],['could'],"['S', 'S', 'NP', 'PP', 'NP', 'NML', 'JJ']"
313,disappear,conj,have,"['requirements', 'could', ',', 'allowing']","['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'NP', 'PP', 'NP', 'NN']"
314,",",punct,disappear,[],"[',']","['S', 'S', 'VP', 'MD']"
315,allowing,advcl,disappear,['increase'],"['allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'VP', 'VB']"
316,them,nsubj,increase,[],['them'],"['S', ',']"
317,to,aux,increase,[],['to'],"['S', 'S', 'VP', 'VBG']"
318,increase,ccomp,allowing,"['them', 'to', 'attendance']","['them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'S', 'NP', 'PRP']"
319,attendance,dobj,increase,['to'],"['attendance', 'to', 'maximum', 'capacity']","['S', 'S', 'VP', 'S', 'VP', 'TO']"
320,to,prep,attendance,['capacity'],"['to', 'maximum', 'capacity']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
321,maximum,amod,capacity,[],['maximum'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
322,capacity,pobj,to,['maximum'],"['maximum', 'capacity']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
323,.,punct,have,[],['.'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'JJ']"
325,Furthermore,advmod,disappear,[],['Furthermore'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
326,",",punct,disappear,[],"[',']","['S', '.']"
327,according,prep,disappear,['to'],"['according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet']","['S', 'ADVP', 'RB']"
328,to,prep,according,['sources'],"['to', 'sources', 'close', 'to', 'the', 'Cabinet']","['S', ',']"
329,sources,pobj,to,['close'],"['sources', 'close', 'to', 'the', 'Cabinet']","['S', 'PP', 'VBG']"
330,close,amod,sources,['to'],"['close', 'to', 'the', 'Cabinet']","['S', 'PP', 'PP', 'IN']"
331,to,prep,close,['Cabinet'],"['to', 'the', 'Cabinet']","['S', 'PP', 'PP', 'NP', 'NP', 'NNS']"
332,the,det,Cabinet,[],['the'],"['S', 'PP', 'PP', 'NP', 'ADJP', 'JJ']"
333,Cabinet,pobj,to,['the'],"['the', 'Cabinet']","['S', 'PP', 'PP', 'NP', 'ADJP', 'PP', 'IN']"
334,",",punct,disappear,[],"[',']","['S', 'PP', 'PP', 'NP', 'ADJP', 'PP', 'NP', 'DT']"
335,the,det,advice,[],['the'],"['S', 'PP', 'PP', 'NP', 'ADJP', 'PP', 'NP', 'NNP']"
336,advice,nsubj,disappear,"['the', 'work']","['the', 'advice', 'to', 'work', 'from', 'home']","['S', ',']"
337,to,aux,work,[],['to'],"['S', 'NP', 'DT']"
338,work,relcl,advice,"['to', 'from']","['to', 'work', 'from', 'home']","['S', 'NP', 'NN']"
339,from,prep,work,['home'],"['from', 'home']","['S', 'NP', 'S', 'VP', 'TO']"
340,home,pobj,from,[],['home'],"['S', 'NP', 'S', 'VP', 'VP', 'VB']"
341,will,aux,disappear,[],['will'],"['S', 'NP', 'S', 'VP', 'VP', 'PP', 'IN']"
342,also,advmod,disappear,[],['also'],"['S', 'NP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
343,disappear,ROOT,disappear,"['Furthermore', ',', 'according', ',', 'advice', 'will', 'also', '.']","['Furthermore', ',', 'according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet', ',', 'the', 'advice', 'to', 'work', 'from', 'home', 'will', 'also', 'disappear', '.']","['S', 'VP', 'MD']"
344,.,punct,disappear,[],['.'],"['S', 'VP', 'ADVP', 'RB']"
346,The,det,advice,[],['The'],"['S', 'VP', 'VP', 'VB']"
347,current,amod,advice,[],['current'],"['S', '.']"
348,advice,nsubj,been,"['The', 'current']","['The', 'current', 'advice']","['S', 'NP', 'DT']"
349,has,aux,been,[],['has'],"['S', 'NP', 'JJ']"
350,been,ROOT,been,"['\n', 'advice', 'has', 'in', 'since', '.']","['\n', 'The', 'current', 'advice', 'has', 'been', 'in', 'effect', 'since', 'November', '26', '.']","['S', 'NP', 'NN']"
351,in,prep,been,['effect'],"['in', 'effect']","['S', 'VP', 'VBZ']"
352,effect,pobj,in,[],['effect'],"['S', 'VP', 'VP', 'VBN']"
353,since,prep,been,['November'],"['since', 'November', '26']","['S', 'VP', 'VP', 'PP', 'IN']"
354,November,pobj,since,['26'],"['November', '26']","['S', 'VP', 'VP', 'PP', 'NP', 'NN']"
355,26,nummod,November,[],['26'],"['S', 'VP', 'VP', 'PP', 'IN']"
356,.,punct,been,[],['.'],"['S', 'VP', 'VP', 'PP', 'NP', 'NNP']"
358,It,nsubjpass,announced,[],['It'],"['S', 'VP', 'VP', 'PP', 'NP', 'CD']"
359,will,aux,announced,[],['will'],"['S', '.']"
360,also,advmod,announced,[],['also'],"['S', 'NP', 'PRP']"
361,probably,advmod,announced,[],['probably'],"['S', 'VP', 'MD']"
362,be,auxpass,announced,[],['be'],"['S', 'VP', 'ADVP', 'RB']"
363,announced,ROOT,announced,"['\n', 'It', 'will', 'also', 'probably', 'be', 'week', 'lifted', '.']","['\n', 'It', 'will', 'also', 'probably', 'be', 'announced', 'next', 'week', 'that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted', '.']","['S', 'VP', 'ADVP', 'RB']"
364,next,amod,week,[],['next'],"['S', 'VP', 'VP', 'VB']"
365,week,npadvmod,announced,['next'],"['next', 'week']","['S', 'VP', 'VP', 'VP', 'VBN']"
366,that,mark,lifted,[],['that'],"['S', 'VP', 'VP', 'VP', 'NP', 'JJ']"
367,the,det,restriction,[],['the'],"['S', 'VP', 'VP', 'VP', 'NP', 'NN']"
368,restriction,nsubjpass,lifted,"['the', 'receive']","['the', 'restriction', 'to', 'receive', 'a', 'maximum']","['S', 'VP', 'VP', 'VP', 'SBAR', 'IN']"
369,to,aux,receive,[],['to'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'DT']"
370,receive,acl,restriction,"['to', 'maximum']","['to', 'receive', 'a', 'maximum']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NN']"
371,a,det,maximum,[],['a'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'TO']"
372,maximum,dobj,receive,['a'],"['a', 'maximum']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'VB']"
373,of,quantmod,four,[],['of'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'NP', 'DT']"
374,four,nummod,people,['of'],"['of', 'four']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'NP', 'NN']"
375,people,nsubjpass,lifted,"['four', 'at']","['of', 'four', 'people', 'at', 'home']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'PP', 'IN']"
376,at,prep,people,['home'],"['at', 'home']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'CD']"
377,home,pobj,at,[],['home'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NNS']"
378,will,aux,lifted,[],['will'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'PP', 'IN']"
379,be,auxpass,lifted,[],['be'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'NP', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
380,lifted,ccomp,announced,"['that', 'restriction', 'people', 'will', 'be']","['that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted']","['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'VP', 'MD']"
381,.,punct,announced,[],['.'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
383,The,det,Cabinet,[],['The'],"['S', 'VP', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
384,Cabinet,nsubj,is,['The'],"['The', 'Cabinet']","['S', '.']"
385,is,ROOT,is,"['\n', 'Cabinet', 'optimistic', '.']","['\n', 'The', 'Cabinet', 'is', '""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions', '.']","['S', 'NP', 'DT']"
386,"""",punct,optimistic,[],"['""']","['S', 'NP', 'NNP']"
387,cautiously,advmod,optimistic,[],['cautiously'],"['S', 'VP', 'VBZ']"
388,optimistic,acomp,is,"['""', 'cautiously', '""', 'about']","['""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions']","['S', 'VP', 'ADVP', '``']"
389,"""",punct,optimistic,[],"['""']","['S', 'VP', 'ADJP', 'ADJP', 'RB']"
390,about,prep,optimistic,['admissions'],"['about', 'hospital', 'admissions']","['S', 'VP', 'ADJP', 'ADJP', 'JJ']"
391,hospital,compound,admissions,[],['hospital'],"['S', 'VP', 'ADJP', ""''""]"
392,admissions,pobj,about,['hospital'],"['hospital', 'admissions']","['S', 'VP', 'ADJP', 'PP', 'IN']"
393,.,punct,is,[],['.'],"['S', 'VP', 'ADJP', 'PP', 'NP', 'NN']"
395,These,nsubj,increased,[],['These'],"['S', 'VP', 'ADJP', 'PP', 'NP', 'NNS']"
396,have,aux,increased,[],['have'],"['S', '.']"
397,increased,ROOT,increased,"['\n', 'These', 'have', 'over', ',', 'but', 'at', '.']","['\n', 'These', 'have', 'increased', 'over', 'the', 'last', 'five', 'weeks', ',', 'but', 'at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus', '.']","['S', 'S', 'NP', 'DT']"
398,over,prep,increased,['weeks'],"['over', 'the', 'last', 'five', 'weeks']","['S', 'S', 'VP', 'VBP']"
399,the,det,weeks,[],['the'],"['S', 'S', 'VP', 'VP', 'VBN']"
400,last,amod,weeks,[],['last'],"['S', 'S', 'VP', 'VP', 'PP', 'IN']"
401,five,nummod,weeks,[],['five'],"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'DT']"
402,weeks,pobj,over,"['the', 'last', 'five']","['the', 'last', 'five', 'weeks']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'JJ']"
403,",",punct,increased,[],"[',']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'CD']"
404,but,cc,increased,[],['but'],"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NNS']"
